Accession;Protein Name;Molecular Weight;Protein Grouping Ambiguity;Flow-through Proteins;Original Proteins;Bound Proteins;Commonly identifiable proteins in normal CSF
Q496H8;Neuritin-like protein OS=Homo sapiens GN=NRN1L PE=2 SV=2;18 kDa;;3;1;;
Q49A17;Polypeptide N-acetylgalactosaminyltransferase-like 6 OS=Homo sapiens GN=GALNTL6 PE=2 SV=2;70 kDa;TRUE;1;2;;
Q4G0F5;Vacuolar protein sorting-associated protein 26B OS=Homo sapiens GN=VPS26B PE=1 SV=2;39 kDa;TRUE;2;;;
Q4G0I0;Protein CCSMST1 OS=Homo sapiens GN=CCSMST1 PE=2 SV=1;15 kDa;;2;1;;
Q4G148;Glucoside xylosyltransferase 1 OS=Homo sapiens GN=GXYLT1 PE=1 SV=2;51 kDa;;5;1;1;
Q4KMG0;Cell adhesion molecule-related/down-regulated by oncogenes OS=Homo sapiens GN=CDON PE=1 SV=2;139 kDa;;7;;;
Q4KWH8;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 OS=Homo sapiens GN=PLCH1 PE=1 SV=1;189 kDa;;2;0;0;
Q4LDE5;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3;390 kDa;;19;6;;
Q4U2R8;Solute carrier family 22 member 6 OS=Homo sapiens GN=SLC22A6 PE=1 SV=1;62 kDa;;2;;;
Q4VXU2;Cluster of Polyadenylate-binding protein 1-like OS=Homo sapiens GN=PABPC1L PE=2 SV=1 (Q4VXU2);68 kDa;TRUE;3;0;2;
Q4ZHG4;Fibronectin type III domain-containing protein 1 OS=Homo sapiens GN=FNDC1 PE=1 SV=4;206 kDa;;14;1;;
Q504Y0;Zinc transporter ZIP12 OS=Homo sapiens GN=SLC39A12 PE=2 SV=3;77 kDa;;9;3;;Yes
Q504Y2;Protein kinase domain-containing protein, cytoplasmic OS=Homo sapiens GN=PKDCC PE=2 SV=2;54 kDa;;4;2;;
Q53EL9;Seizure protein 6 homolog OS=Homo sapiens GN=SEZ6 PE=1 SV=2;107 kDa;;22;19;0;Yes
Q53FA7;Quinone oxidoreductase PIG3 OS=Homo sapiens GN=TP53I3 PE=1 SV=2;36 kDa;;7;;;
Q53FT3;Protein Hikeshi OS=Homo sapiens GN=C11orf73 PE=1 SV=2;22 kDa;;2;;;
Q53GG5;PDZ and LIM domain protein 3 OS=Homo sapiens GN=PDLIM3 PE=2 SV=1;39 kDa;;3;;;
Q53H76;Phospholipase A1 member A OS=Homo sapiens GN=PLA1A PE=2 SV=2;50 kDa;;5;3;;
Q53RD9;Fibulin-7 OS=Homo sapiens GN=FBLN7 PE=2 SV=1;47 kDa;;10;8;4;Yes
Q53RT3;Retroviral-like aspartic protease 1 OS=Homo sapiens GN=ASPRV1 PE=1 SV=1;37 kDa;;4;2;;
Q58EX2;Protein sidekick-2 OS=Homo sapiens GN=SDK2 PE=1 SV=3;239 kDa;TRUE;12;3;;
Q5BIV9;Shadow of prion protein OS=Homo sapiens GN=SPRN PE=2 SV=1;15 kDa;;2;2;;
Q5BLP8;Neuropeptide-like protein C4orf48 OS=Homo sapiens GN=C4orf48 PE=1 SV=3;10 kDa;;5;5;1;Yes
Q5D862;Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1;248 kDa;;2;1;3;
Q5FWE3;Proline-rich transmembrane protein 3 OS=Homo sapiens GN=PRRT3 PE=1 SV=3;102 kDa;;7;6;;Yes
Q5H8C1;FRAS1-related extracellular matrix protein 1 OS=Homo sapiens GN=FREM1 PE=1 SV=3;244 kDa;;10;1;;
Q5IJ48;Crumbs homolog 2 OS=Homo sapiens GN=CRB2 PE=1 SV=2;134 kDa;;16;8;;Yes
Q5JRA6;Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1;214 kDa;;25;13;0;
Q5JS37;NHL repeat-containing protein 3 OS=Homo sapiens GN=NHLRC3 PE=2 SV=1;38 kDa;;7;3;;Yes
Q5JTV8;Torsin-1A-interacting protein 1 OS=Homo sapiens GN=TOR1AIP1 PE=1 SV=2;66 kDa;;4;1;;
Q5JXA9;Signal-regulatory protein beta-2 OS=Homo sapiens GN=SIRPB2 PE=2 SV=1;37 kDa;;2;0;;
Q5JZY3;Ephrin type-A receptor 10 OS=Homo sapiens GN=EPHA10 PE=2 SV=1;110 kDa;TRUE;9;9;;
Q5KU26;Collectin-12 OS=Homo sapiens GN=COLEC12 PE=1 SV=3;82 kDa;;10;10;;Yes
Q5R3F8;Protein phosphatase 1 regulatory subunit 29 OS=Homo sapiens GN=ELFN2 PE=1 SV=1;90 kDa;;2;1;;
Q5SGD2;Protein phosphatase 1L OS=Homo sapiens GN=PPM1L PE=1 SV=1;41 kDa;;3;0;;
Q5SRI9;Glycoprotein endo-alpha-1,2-mannosidase OS=Homo sapiens GN=MANEA PE=1 SV=1;54 kDa;;4;1;;
Q5SZK8;FRAS1-related extracellular matrix protein 2 OS=Homo sapiens GN=FREM2 PE=1 SV=2;351 kDa;;28;9;0;Yes
Q5T011;Protein SZT2 OS=Homo sapiens GN=SZT2 PE=2 SV=3;378 kDa;;1;2;0;
Q5T013;Putative hydroxypyruvate isomerase OS=Homo sapiens GN=HYI PE=2 SV=2;30 kDa;;6;1;;
Q5T6V5;UPF0553 protein C9orf64 OS=Homo sapiens GN=C9orf64 PE=1 SV=1;39 kDa;;2;1;;
Q5T749;Keratinocyte proline-rich protein OS=Homo sapiens GN=KPRP PE=1 SV=1;64 kDa;;0;;2;
Q5T848;Probable G-protein coupled receptor 158 OS=Homo sapiens GN=GPR158 PE=1 SV=1;135 kDa;;3;2;;
Q5TA45;Integrator complex subunit 11 OS=Homo sapiens GN=CPSF3L PE=1 SV=2;68 kDa;;1;;2;
Q5TIE3;von Willebrand factor A domain-containing protein 5B1 OS=Homo sapiens GN=VWA5B1 PE=1 SV=2;134 kDa;;2;1;0;
Q5UCC4;ER membrane protein complex subunit 10 OS=Homo sapiens GN=EMC10 PE=1 SV=1;27 kDa;;2;2;;
Q5VSG8;Glycoprotein endo-alpha-1,2-mannosidase-like protein OS=Homo sapiens GN=MANEAL PE=2 SV=1;51 kDa;;10;4;;Yes
Q5VTE0;Cluster of Putative elongation factor 1-alpha-like 3 OS=Homo sapiens GN=EEF1A1P5 PE=5 SV=1 (Q5VTE0);50 kDa;TRUE;7;2;8;
Q5VU97;VWFA and cache domain-containing protein 1 OS=Homo sapiens GN=CACHD1 PE=1 SV=2;142 kDa;;33;21;1;Yes
Q5VUB5;Protein FAM171A1 OS=Homo sapiens GN=FAM171A1 PE=1 SV=1;98 kDa;;4;1;;
Q5VV43;Dyslexia-associated protein KIAA0319 OS=Homo sapiens GN=KIAA0319 PE=1 SV=1;118 kDa;;11;6;;Yes
Q5VV63;Attractin-like protein 1 OS=Homo sapiens GN=ATRNL1 PE=2 SV=2;153 kDa;;5;1;;Yes
Q5VW32;BRO1 domain-containing protein BROX OS=Homo sapiens GN=BROX PE=1 SV=1;46 kDa;;2;;;
Q5VWW1;Cluster of Complement C1q-like protein 3 OS=Homo sapiens GN=C1QL3 PE=2 SV=1 (Q5VWW1);27 kDa;TRUE;5;2;;Yes
Q5VX71;Sushi domain-containing protein 4 OS=Homo sapiens GN=SUSD4 PE=2 SV=1;54 kDa;;2;;;
Q5VY43;Platelet endothelial aggregation receptor 1 OS=Homo sapiens GN=PEAR1 PE=1 SV=1;111 kDa;;6;1;;
Q5W111;SPRY domain-containing protein 7 OS=Homo sapiens GN=SPRYD7 PE=1 SV=2;22 kDa;;3;;;
Q5ZPR3;CD276 antigen OS=Homo sapiens GN=CD276 PE=1 SV=1;57 kDa;;2;;;
Q63HQ2;Pikachurin OS=Homo sapiens GN=EGFLAM PE=1 SV=2;111 kDa;;17;12;;Yes
Q641Q3;Meteorin-like protein OS=Homo sapiens GN=METRNL PE=2 SV=1;34 kDa;;9;8;0;Yes
Q658N2;WSC domain-containing protein 1 OS=Homo sapiens GN=WSCD1 PE=1 SV=1;66 kDa;;8;6;;Yes
Q66K79;Carboxypeptidase Z OS=Homo sapiens GN=CPZ PE=1 SV=2;74 kDa;;2;0;;
Q68BL7;Olfactomedin-like protein 2A OS=Homo sapiens GN=OLFML2A PE=2 SV=1;73 kDa;;5;4;0;
Q68BL8;Olfactomedin-like protein 2B OS=Homo sapiens GN=OLFML2B PE=2 SV=2;84 kDa;;4;3;;
Q68CQ7;Glycosyltransferase 8 domain-containing protein 1 OS=Homo sapiens GN=GLT8D1 PE=1 SV=2;42 kDa;;2;;;
Q68D85;Natural cytotoxicity triggering receptor 3 ligand 1 OS=Homo sapiens GN=NCR3LG1 PE=1 SV=1;51 kDa;;2;0;;Yes
Q6AZY7;Scavenger receptor class A member 3 OS=Homo sapiens GN=SCARA3 PE=2 SV=1;65 kDa;;2;;0;
Q6BCY4;NADH-cytochrome b5 reductase 2 OS=Homo sapiens GN=CYB5R2 PE=1 SV=1;31 kDa;;4;;;
Q6E0U4;Dermokine OS=Homo sapiens GN=DMKN PE=1 SV=3;47 kDa;;3;2;0;
Q6EMK4;Vasorin OS=Homo sapiens GN=VASN PE=1 SV=1;72 kDa;;8;8;2;Yes
Q6FHJ7;Secreted frizzled-related protein 4 OS=Homo sapiens GN=SFRP4 PE=1 SV=2;40 kDa;;7;5;;Yes
Q6GTS8;Probable carboxypeptidase PM20D1 OS=Homo sapiens GN=PM20D1 PE=2 SV=3;56 kDa;;2;;;
Q6GTX8;Leukocyte-associated immunoglobulin-like receptor 1 OS=Homo sapiens GN=LAIR1 PE=1 SV=1;31 kDa;TRUE;5;4;;Yes
Q6IAA8;Ragulator complex protein LAMTOR1 OS=Homo sapiens GN=LAMTOR1 PE=1 SV=2;18 kDa;;3;1;;
Q6IBS0;Cluster of Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=1 SV=2 (Q6IBS0);40 kDa;TRUE;7;1;;
Q6IEE7;Transmembrane protein 132E OS=Homo sapiens GN=TMEM132E PE=2 SV=1;107 kDa;;18;7;;Yes
Q6IS14;Cluster of Eukaryotic translation initiation factor 5A-1-like OS=Homo sapiens GN=EIF5AL1 PE=1 SV=2 (Q6IS14);17 kDa;TRUE;2;0;0;
Q6IS24;Putative polypeptide N-acetylgalactosaminyltransferase-like protein 3 OS=Homo sapiens GN=WBSCR17 PE=2 SV=2;68 kDa;;13;6;0;Yes
Q6ISS4;Leukocyte-associated immunoglobulin-like receptor 2 OS=Homo sapiens GN=LAIR2 PE=2 SV=1;16 kDa;TRUE;2;2;;
Q6JBY9;CapZ-interacting protein OS=Homo sapiens GN=RCSD1 PE=1 SV=1;45 kDa;;3;0;0;
Q6KB66;Keratin, type II cytoskeletal 80 OS=Homo sapiens GN=KRT80 PE=1 SV=2;51 kDa;TRUE;2;1;0;
Q6MZW2;Follistatin-related protein 4 OS=Homo sapiens GN=FSTL4 PE=2 SV=3;93 kDa;TRUE;38;38;8;Yes
Q6N022;Teneurin-4 OS=Homo sapiens GN=ODZ4 PE=2 SV=2;308 kDa;TRUE;12;6;0;
Q6NUI6;Chondroadherin-like protein OS=Homo sapiens GN=CHADL PE=2 SV=2;82 kDa;;2;3;0;
Q6NUJ2;Uncharacterized protein C11orf87 OS=Homo sapiens GN=C11orf87 PE=2 SV=2;21 kDa;;2;2;1;
Q6NUS6;Tectonic-3 OS=Homo sapiens GN=TCTN3 PE=2 SV=2;66 kDa;;4;1;;
Q6NW40;RGM domain family member B OS=Homo sapiens GN=RGMB PE=2 SV=3;48 kDa;;11;13;1;
Q6P179;Endoplasmic reticulum aminopeptidase 2 OS=Homo sapiens GN=ERAP2 PE=1 SV=2;110 kDa;;18;4;2;Yes
Q6P4E1;Protein CASC4 OS=Homo sapiens GN=CASC4 PE=2 SV=1;49 kDa;;12;6;;Yes
Q6P4F1;Alpha-(1,3)-fucosyltransferase 10 OS=Homo sapiens GN=FUT10 PE=2 SV=2;56 kDa;;2;0;;
Q6P995;Protein FAM171B OS=Homo sapiens GN=FAM171B PE=1 SV=3;92 kDa;;3;;;
Q6P9A2;Putative polypeptide N-acetylgalactosaminyltransferase-like protein 4 OS=Homo sapiens GN=GALNTL4 PE=2 SV=2;70 kDa;;18;11;;Yes
Q6PCB0;von Willebrand factor A domain-containing protein 1 OS=Homo sapiens GN=VWA1 PE=2 SV=1;47 kDa;;9;4;;Yes
Q6PCE3;Glucose 1,6-bisphosphate synthase OS=Homo sapiens GN=PGM2L1 PE=1 SV=3;70 kDa;;2;;;
Q6PJG9;Leucine-rich repeat and fibronectin type-III domain-containing protein 4 OS=Homo sapiens GN=LRFN4 PE=1 SV=1;67 kDa;;3;1;0;
Q6PK18;PKHD domain-containing transmembrane protein C17orf101 OS=Homo sapiens GN=C17orf101 PE=2 SV=2;36 kDa;;2;;;
Q6PUV4;Complexin-2 OS=Homo sapiens GN=CPLX2 PE=1 SV=2;15 kDa;;4;1;;
Q6UVK1;Chondroitin sulfate proteoglycan 4 OS=Homo sapiens GN=CSPG4 PE=1 SV=2;251 kDa;;51;31;0;Yes
Q6UVY6;DBH-like monooxygenase protein 1 OS=Homo sapiens GN=MOXD1 PE=2 SV=1;70 kDa;;11;4;0;
Q6UW01;Cerebellin-3 OS=Homo sapiens GN=CBLN3 PE=1 SV=1;22 kDa;;5;5;3;Yes
Q6UWB1;Interleukin-27 receptor subunit alpha OS=Homo sapiens GN=IL27RA PE=2 SV=2;69 kDa;;5;;;
Q6UWH4;Protein FAM198B OS=Homo sapiens GN=FAM198B PE=2 SV=1;58 kDa;;17;8;8;Yes
Q6UWR7;Ectonucleotide pyrophosphatase/phosphodiesterase family member 6 OS=Homo sapiens GN=ENPP6 PE=1 SV=2;50 kDa;;11;7;1;Yes
Q6UWY0;Arylsulfatase K OS=Homo sapiens GN=ARSK PE=2 SV=1;61 kDa;;5;;;
Q6UWY5;Olfactomedin-like protein 1 OS=Homo sapiens GN=OLFML1 PE=1 SV=2;46 kDa;;9;7;1;
Q6UX15;Layilin OS=Homo sapiens GN=LAYN PE=2 SV=1;43 kDa;;5;3;;
Q6UX71;Plexin domain-containing protein 2 OS=Homo sapiens GN=PLXDC2 PE=1 SV=1;60 kDa;TRUE;13;14;4;Yes
Q6UX72;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 OS=Homo sapiens GN=B3GNT9 PE=2 SV=1;44 kDa;;7;2;;Yes
Q6UX73;UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2;45 kDa;TRUE;12;14;6;
Q6UXB8;Peptidase inhibitor 16 OS=Homo sapiens GN=PI16 PE=1 SV=1;49 kDa;;10;8;4;Yes
Q6UXD5;Seizure 6-like protein 2 OS=Homo sapiens GN=SEZ6L2 PE=1 SV=2;98 kDa;TRUE;16;17;3;Yes
Q6UXH1;Cysteine-rich with EGF-like domain protein 2 OS=Homo sapiens GN=CRELD2 PE=1 SV=1;38 kDa;;3;1;;
Q6UXH9;Inactive serine protease PAMR1 OS=Homo sapiens GN=PAMR1 PE=1 SV=1;80 kDa;;16;14;;
Q6UXI7;Vitrin OS=Homo sapiens GN=VIT PE=2 SV=1;74 kDa;;7;4;0;
Q6UXI9;Nephronectin OS=Homo sapiens GN=NPNT PE=2 SV=3;62 kDa;;8;2;;
Q6UXK2;Immunoglobulin superfamily containing leucine-rich repeat protein 2 OS=Homo sapiens GN=ISLR2 PE=2 SV=1;79 kDa;;14;8;4;
Q6UXK5;Leucine-rich repeat neuronal protein 1 OS=Homo sapiens GN=LRRN1 PE=1 SV=1;81 kDa;TRUE;18;12;1;Yes
Q6UXM1;Leucine-rich repeats and immunoglobulin-like domains protein 3 OS=Homo sapiens GN=LRIG3 PE=2 SV=1;123 kDa;TRUE;3;;0;
Q6UXN8;C-type lectin domain family 9 member A OS=Homo sapiens GN=CLEC9A PE=1 SV=1;27 kDa;;2;1;;
Q6UXZ4;Netrin receptor UNC5D OS=Homo sapiens GN=UNC5D PE=1 SV=1;106 kDa;;2;3;;Yes
Q6UY11;Protein delta homolog 2 OS=Homo sapiens GN=DLK2 PE=2 SV=1;41 kDa;;5;3;1;
Q6UY14;ADAMTS-like protein 4 OS=Homo sapiens GN=ADAMTSL4 PE=1 SV=2;117 kDa;;7;1;1;
Q6WN34;Chordin-like protein 2 OS=Homo sapiens GN=CHRDL2 PE=1 SV=1;47 kDa;;5;3;;
Q6WRI0;Immunoglobulin superfamily member 10 OS=Homo sapiens GN=IGSF10 PE=1 SV=1;291 kDa;TRUE;6;0;0;
Q6YHK3;CD109 antigen OS=Homo sapiens GN=CD109 PE=1 SV=2;162 kDa;;31;21;4;Yes
Q6ZMI3;Gliomedin OS=Homo sapiens GN=GLDN PE=2 SV=1;59 kDa;TRUE;13;10;;Yes
Q6ZMJ2;Scavenger receptor class A member 5 OS=Homo sapiens GN=SCARA5 PE=2 SV=1;54 kDa;;4;1;;
Q6ZMM2;ADAMTS-like protein 5 OS=Homo sapiens GN=ADAMTSL5 PE=1 SV=2;52 kDa;;5;0;;
Q6ZMP0;Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens GN=THSD4 PE=2 SV=2;112 kDa;;6;5;8;
Q6ZN44;Netrin receptor UNC5A OS=Homo sapiens GN=UNC5A PE=2 SV=3;93 kDa;;4;2;;
Q6ZRI8;Rho GTPase-activating protein 36 OS=Homo sapiens GN=ARHGAP36 PE=2 SV=1;62 kDa;;3;1;;
Q6ZRP7;Sulfhydryl oxidase 2 OS=Homo sapiens GN=QSOX2 PE=1 SV=3;78 kDa;;25;10;7;Yes
Q6ZSJ9;Protein shisa-6 homolog OS=Homo sapiens GN=SHISA6 PE=2 SV=2;56 kDa;;2;2;;
Q6ZVL6;UPF0606 protein KIAA1549L OS=Homo sapiens GN=KIAA1549L PE=2 SV=2;199 kDa;;15;7;0;
Q6ZVM7;TOM1-like protein 2 OS=Homo sapiens GN=TOM1L2 PE=1 SV=1;56 kDa;;2;;;
Q70JA7;Chondroitin sulfate synthase 3 OS=Homo sapiens GN=CHSY3 PE=1 SV=3;100 kDa;TRUE;8;3;0;
Q71U36;Cluster of Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1 (Q71U36);50 kDa;TRUE;17;10;13;
Q76B58;Protein FAM5C OS=Homo sapiens GN=FAM5C PE=2 SV=1;88 kDa;TRUE;3;2;;
Q76KP1;N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 OS=Homo sapiens GN=B4GALNT4 PE=1 SV=1;117 kDa;TRUE;11;6;2;Yes
Q76LX8;A disintegrin and metalloproteinase with thrombospondin motifs 13 OS=Homo sapiens GN=ADAMTS13 PE=1 SV=1;154 kDa;;5;1;0;
Q76M96;Coiled-coil domain-containing protein 80 OS=Homo sapiens GN=CCDC80 PE=1 SV=1;108 kDa;;5;2;;
Q7KYR7;Cluster of Butyrophilin subfamily 2 member A1 OS=Homo sapiens GN=BTN2A1 PE=1 SV=3 (Q7KYR7);60 kDa;TRUE;2;2;0;Yes
Q7KZ85;Transcription elongation factor SPT6 OS=Homo sapiens GN=SUPT6H PE=1 SV=2;199 kDa;;0;;2;
Q7L0X0;TLR4 interactor with leucine rich repeats OS=Homo sapiens GN=TRIL PE=1 SV=2;89 kDa;;12;3;;Yes
Q7L266;L-asparaginase OS=Homo sapiens GN=ASRGL1 PE=1 SV=2;32 kDa;;7;1;0;
Q7L7X3;Serine/threonine-protein kinase TAO1 OS=Homo sapiens GN=TAOK1 PE=1 SV=1;116 kDa;TRUE;2;0;;
Q7L985;Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2 OS=Homo sapiens GN=LINGO2 PE=1 SV=1;68 kDa;TRUE;4;3;;Yes
Q7LFX5;Carbohydrate sulfotransferase 15 OS=Homo sapiens GN=CHST15 PE=1 SV=1;65 kDa;;13;14;5;Yes
Q7LGC8;Carbohydrate sulfotransferase 3 OS=Homo sapiens GN=CHST3 PE=1 SV=3;55 kDa;;7;6;;
Q7Z304;MAM domain-containing protein 2 OS=Homo sapiens GN=MAMDC2 PE=2 SV=3;78 kDa;;12;5;1;
Q7Z3B1;Neuronal growth regulator 1 OS=Homo sapiens GN=NEGR1 PE=1 SV=3;39 kDa;;13;17;5;Yes
Q7Z406;Myosin-14 OS=Homo sapiens GN=MYH14 PE=1 SV=2;228 kDa;TRUE;2;0;0;
Q7Z407;CUB and sushi domain-containing protein 3 OS=Homo sapiens GN=CSMD3 PE=2 SV=3;406 kDa;TRUE;9;1;;
Q7Z408;CUB and sushi domain-containing protein 2 OS=Homo sapiens GN=CSMD2 PE=1 SV=2;380 kDa;TRUE;20;1;;
Q7Z4H8;KDEL motif-containing protein 2 OS=Homo sapiens GN=KDELC2 PE=1 SV=2;59 kDa;;3;0;;
Q7Z553;MAM domain-containing glycosylphosphatidylinositol anchor protein 2 OS=Homo sapiens GN=MDGA2 PE=2 SV=2;107 kDa;;16;8;;Yes
Q7Z5A7;Protein FAM19A5 OS=Homo sapiens GN=FAM19A5 PE=1 SV=2;14 kDa;;3;2;1;
Q7Z5A8;Protein FAM19A3 OS=Homo sapiens GN=FAM19A3 PE=2 SV=1;15 kDa;TRUE;2;;;
Q7Z5A9;Protein FAM19A1 OS=Homo sapiens GN=FAM19A1 PE=2 SV=1;15 kDa;TRUE;4;1;;
Q7Z5L0;Vitelline membrane outer layer protein 1 homolog OS=Homo sapiens GN=VMO1 PE=1 SV=1;22 kDa;;5;3;;
Q7Z5L7;Podocan OS=Homo sapiens GN=PODN PE=1 SV=2;69 kDa;;13;11;;
Q7Z5N4;Protein sidekick-1 OS=Homo sapiens GN=SDK1 PE=1 SV=3;242 kDa;TRUE;15;3;0;
Q7Z6G3;N-terminal EF-hand calcium-binding protein 2 OS=Homo sapiens GN=NECAB2 PE=1 SV=1;43 kDa;TRUE;3;;;
Q7Z6L0;Proline-rich transmembrane protein 2 OS=Homo sapiens GN=PRRT2 PE=1 SV=1;35 kDa;;5;3;;Yes
Q7Z794;Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=1 SV=3;62 kDa;TRUE;3;3;5;
Q7Z7G0;Target of Nesh-SH3 OS=Homo sapiens GN=ABI3BP PE=1 SV=1;119 kDa;;13;9;;Yes
Q7Z7H5;Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens GN=TMED4 PE=1 SV=1;26 kDa;TRUE;4;5;;
Q7Z7L8;Uncharacterized protein C11orf96 OS=Homo sapiens GN=C11orf96 PE=1 SV=3;46 kDa;;2;;;
Q7Z7M0;Multiple epidermal growth factor-like domains protein 8 OS=Homo sapiens GN=MEGF8 PE=1 SV=2;303 kDa;TRUE;63;56;9;Yes
Q7Z7M8;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 OS=Homo sapiens GN=B3GNT8 PE=1 SV=1;43 kDa;;7;1;;Yes
Q7Z7M9;Polypeptide N-acetylgalactosaminyltransferase 5 OS=Homo sapiens GN=GALNT5 PE=1 SV=1;106 kDa;TRUE;10;2;;
Q86SF2;N-acetylgalactosaminyltransferase 7 OS=Homo sapiens GN=GALNT7 PE=1 SV=1;75 kDa;TRUE;28;15;;Yes
Q86SJ2;Amphoterin-induced protein 2 OS=Homo sapiens GN=AMIGO2 PE=1 SV=1;58 kDa;;5;1;;
Q86SQ4;G-protein coupled receptor 126 OS=Homo sapiens GN=GPR126 PE=1 SV=3;137 kDa;;4;2;;
Q86SR1;Polypeptide N-acetylgalactosaminyltransferase 10 OS=Homo sapiens GN=GALNT10 PE=1 SV=2;69 kDa;TRUE;16;13;;Yes
Q86T13;C-type lectin domain family 14 member A OS=Homo sapiens GN=CLEC14A PE=1 SV=1;52 kDa;;6;2;;
Q86TE4;Leucine zipper protein 2 OS=Homo sapiens GN=LUZP2 PE=2 SV=2;39 kDa;;5;1;;
Q86TH1;ADAMTS-like protein 2 OS=Homo sapiens GN=ADAMTSL2 PE=1 SV=1;105 kDa;;14;11;;Yes
Q86TY3;Uncharacterized protein C14orf37 OS=Homo sapiens GN=C14orf37 PE=2 SV=1;84 kDa;;6;2;;Yes
Q86UD1;Out at first protein homolog OS=Homo sapiens GN=OAF PE=2 SV=1;31 kDa;;10;6;3;Yes
Q86UE6;Leucine-rich repeat transmembrane neuronal protein 1 OS=Homo sapiens GN=LRRTM1 PE=2 SV=2;59 kDa;;6;0;;
Q86UN2;Reticulon-4 receptor-like 1 OS=Homo sapiens GN=RTN4RL1 PE=2 SV=1;49 kDa;;8;6;;Yes
Q86UN3;Reticulon-4 receptor-like 2 OS=Homo sapiens GN=RTN4RL2 PE=1 SV=1;46 kDa;TRUE;11;10;;Yes
Q86UW8;Hyaluronan and proteoglycan link protein 4 OS=Homo sapiens GN=HAPLN4 PE=2 SV=1;43 kDa;TRUE;10;3;;Yes
Q86UX2;Inter-alpha-trypsin inhibitor heavy chain H5 OS=Homo sapiens GN=ITIH5 PE=2 SV=2;105 kDa;;42;36;2;
Q86UX7;Fermitin family homolog 3 OS=Homo sapiens GN=FERMT3 PE=1 SV=1;76 kDa;;2;;;
Q86V40;Metalloprotease TIKI1 OS=Homo sapiens GN=TRABD2A PE=2 SV=3;58 kDa;TRUE;2;;;
Q86V85;Integral membrane protein GPR180 OS=Homo sapiens GN=GPR180 PE=2 SV=1;49 kDa;;5;2;;Yes
Q86VB7;Scavenger receptor cysteine-rich type 1 protein M130 OS=Homo sapiens GN=CD163 PE=1 SV=2;125 kDa;;33;30;1;Yes
Q86VP1;Tax1-binding protein 1 OS=Homo sapiens GN=TAX1BP1 PE=1 SV=2;91 kDa;;3;0;;
Q86VP6;Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2;136 kDa;;9;1;2;
Q86VQ0;Lebercilin OS=Homo sapiens GN=LCA5 PE=1 SV=2;81 kDa;;2;0;0;
Q86VZ4;Low-density lipoprotein receptor-related protein 11 OS=Homo sapiens GN=LRP11 PE=2 SV=2;53 kDa;;14;14;;Yes
Q86WC4;Osteopetrosis-associated transmembrane protein 1 OS=Homo sapiens GN=OSTM1 PE=1 SV=1;37 kDa;;2;2;;
Q86X29;Lipolysis-stimulated lipoprotein receptor OS=Homo sapiens GN=LSR PE=1 SV=4;71 kDa;;10;8;;Yes
Q86XS8;E3 ubiquitin-protein ligase RNF130 OS=Homo sapiens GN=RNF130 PE=1 SV=1;46 kDa;;3;1;;
Q86XX4;Extracellular matrix protein FRAS1 OS=Homo sapiens GN=FRAS1 PE=2 SV=1;443 kDa;;10;0;0;
Q86Y38;Xylosyltransferase 1 OS=Homo sapiens GN=XYLT1 PE=1 SV=1;108 kDa;;21;16;;Yes
Q86Y78;Ly6/PLAUR domain-containing protein 6 OS=Homo sapiens GN=LYPD6 PE=1 SV=1;19 kDa;;2;1;;
Q86Y82;Syntaxin-12 OS=Homo sapiens GN=STX12 PE=1 SV=1;32 kDa;;7;4;;Yes
Q86YB8;ERO1-like protein beta OS=Homo sapiens GN=ERO1LB PE=1 SV=2;54 kDa;TRUE;3;;;
Q86YD3;Transmembrane protein 25 OS=Homo sapiens GN=TMEM25 PE=1 SV=1;39 kDa;;5;4;;Yes
Q86YD5;Low-density lipoprotein receptor class A domain-containing protein 3 OS=Homo sapiens GN=LDLRAD3 PE=2 SV=3;37 kDa;;4;1;;
Q86YT9;Junctional adhesion molecule-like OS=Homo sapiens GN=AMICA1 PE=1 SV=1;44 kDa;;3;1;;
Q86YZ3;Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2;282 kDa;;;3;1;
Q8IUC8;Polypeptide N-acetylgalactosaminyltransferase 13 OS=Homo sapiens GN=GALNT13 PE=2 SV=2;64 kDa;TRUE;13;7;1;Yes
