"CSF-PR / CSF GEL DEPLETED FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
10562.00,"SINGLE PROTEIN","A8MSI8",""," LYR motif-containing protein 9 (LYRM9_HUMAN)","17","C17ORF108",0.00,"false",0.00,0.00,0.00,3066.00,9.37,0.00,,,,,"false"
10563.00,"SINGLE PROTEIN","P62070",""," Ras-related protein R-Ras2 (RRAS2_HUMAN)","11","RRAS2",0.00,"false",0.00,0.00,0.00,3066.00,23.38,0.00,,,,,"false"
10564.00,"RELATED AND UNRELATED PROTEINS","Q86YD7","A8MWA6,A8MXZ1,P0C7X0"," Protein FAM90A1 (F90A1_HUMAN)","12","FAM90A1",0.00,"false",0.00,0.00,0.00,3066.00,49.76,0.00,,,,,"false"
10565.00,"RELATED PROTEINS","Q7L2R6","Q86XN6"," Zinc finger protein 765 (ZN765_HUMAN)","19","ZNF765",0.00,"false",0.00,0.00,0.00,3066.00,61.59,0.00,,,,,"false"
10566.00,"SINGLE PROTEIN","P62068",""," Ubiquitin carboxyl-terminal hydrolase 46 (UBP46_HUMAN)","4","USP46",0.00,"false",0.00,0.00,0.00,3066.00,42.42,0.00,,,,,"false"
10567.00,"RELATED PROTEINS","Q5JU85","Q6DN90"," IQ motif and SEC7 domain-containing protein 2 (IQEC2_HUMAN)","X","IQSEC2",0.00,"false",0.00,0.00,0.00,3066.00,161.64,0.00,,,,,"false"
10568.00,"SINGLE PROTEIN","Q96TA0",""," Putative protocadherin beta-18 (PCDBI_HUMAN)","5","PCDHB18",0.00,"false",0.00,0.00,0.00,3066.00,80.42,0.00,,,,,"false"
10569.00,"SINGLE PROTEIN","Q9UMX9",""," Membrane-associated transporter protein (S45A2_HUMAN)","5","SLC45A2",0.00,"false",0.00,0.00,0.00,3066.00,58.23,0.00,,,,,"false"
10570.00,"SINGLE PROTEIN","Q96TA1",""," Niban-like protein 1 (NIBL1_HUMAN)","9","FAM129B",0.00,"false",0.00,0.00,0.00,3066.00,84.08,0.00,,,,,"false"
10571.00,"SINGLE PROTEIN","P52434",""," DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RPAB3_HUMAN)","3","POLR2H",0.00,"false",0.00,0.00,0.00,3066.00,17.13,0.00,,,,,"false"
10572.00,"SINGLE PROTEIN","Q9UMY4",""," Sorting nexin-12 (SNX12_HUMAN)","X","SNX12",0.00,"false",0.00,1.00,0.00,1821.00,19.72,0.00,,,,,"false"
10573.00,"SINGLE PROTEIN","Q9UMY1",""," Nucleolar protein 7 (NOL7_HUMAN)","6","NOL7",0.00,"false",0.00,0.00,0.00,3066.00,29.41,0.00,,,,,"false"
10574.00,"SINGLE PROTEIN","P53778",""," Mitogen-activated protein kinase 12 (MK12_HUMAN)","22","MAPK12",0.00,"false",0.00,0.00,0.00,3066.00,41.91,0.00,,,,,"false"
10575.00,"SINGLE PROTEIN","A2A368",""," Melanoma-associated antigen B16 (MAGBG_HUMAN)","X","MAGEB16",0.00,"false",0.00,0.00,0.00,3066.00,36.16,0.00,,,,,"false"
10576.00,"SINGLE PROTEIN","P51114",""," Fragile X mental retardation syndrome-related protein 1 (FXR1_HUMAN)","3","FXR1",0.00,"false",0.00,0.00,0.00,3066.00,69.68,0.00,,,,,"false"
10577.00,"SINGLE PROTEIN","P53779",""," Mitogen-activated protein kinase 10 (MK10_HUMAN)","4","MAPK10",0.00,"false",0.00,0.00,0.00,3066.00,52.55,0.00,,,,,"false"
10578.00,"RELATED AND UNRELATED PROTEINS","Q06730","Q06732,Q6P3V2"," Zinc finger protein 33A (ZN33A_HUMAN)","10","ZNF33A",0.00,"false",0.00,0.00,0.00,3066.00,94.32,0.00,,,,,"false"
10579.00,"SINGLE PROTEIN","P38117",""," Electron transfer flavoprotein subunit beta (ETFB_HUMAN)","19","ETFB",0.00,"false",0.00,0.00,0.00,3066.00,27.83,0.00,,,,,"false"
10580.00,"RELATED PROTEINS","O60315","P37275"," Zinc finger E-box-binding homeobox 2 (ZEB2_HUMAN)","2","ZEB2",0.00,"false",0.00,0.00,0.00,3066.00,136.36,0.00,,,,,"false"
10581.00,"RELATED PROTEINS","Q13507","Q9HCX4"," Short transient receptor potential channel 3 (TRPC3_HUMAN)","4","TRPC3",0.00,"false",0.00,0.00,0.00,3066.00,95.95,0.00,,,,,"false"
10582.00,"SINGLE PROTEIN","Q9NZH0",""," G-protein coupled receptor family C group 5 member B (GPC5B_HUMAN)","16","GPRC5B",0.00,"false",0.00,0.00,0.00,3066.00,44.77,0.00,,,,,"false"
10583.00,"UNRELATED PROTEINS","P13686","Q13813"," Tartrate-resistant acid phosphatase type 5 (PPA5_HUMAN)","19","ACP5",0.00,"false",0.00,0.00,0.00,3066.00,36.58,0.00,,,,,"false"
10584.00,"SINGLE PROTEIN","Q9NZH4",""," Putative pituitary tumor-transforming gene 3 protein (PTTG3_HUMAN)","8","PTTG3P",0.00,"false",0.00,0.00,0.00,3066.00,22.05,0.00,,,,,"false"
10585.00,"SINGLE PROTEIN","Q9NZH5",""," Securin-2 (PTTG2_HUMAN)","4","PTTG2",0.00,"false",0.00,0.00,0.00,3066.00,22.29,0.00,,,,,"false"
10586.00,"SINGLE PROTEIN","Q9NZH7",""," Interleukin-36 beta (IL36B_HUMAN)","2","IL36B",0.00,"false",0.00,0.00,0.00,3066.00,18.51,0.00,,,,,"false"
10587.00,"SINGLE PROTEIN","Q9NZH8",""," Interleukin-36 gamma (IL36G_HUMAN)","2","IL36G",0.00,"false",0.00,0.00,0.00,3066.00,18.71,0.00,,,,,"false"
10588.00,"RELATED PROTEINS","P48067","Q9Y345"," Sodium- and chloride-dependent glycine transporter 1 (SC6A9_HUMAN)","1","SLC6A9",0.00,"false",0.00,0.00,0.00,3066.00,78.21,0.00,,,,,"false"
10589.00,"SINGLE PROTEIN","Q13939",""," Calicin (CALI_HUMAN)","9","CCIN",0.00,"false",0.00,0.00,0.00,3066.00,66.54,0.00,,,,,"false"
10590.00,"RELATED PROTEINS","Q6VAB6","Q9C0F1"," Kinase suppressor of Ras 2 (KSR2_HUMAN)","12","KSR2",0.00,"false",0.00,0.00,0.00,3066.00,107.56,0.00,,,,,"false"
10591.00,"RELATED PROTEINS","P11055","P13535"," Myosin-3 (MYH3_HUMAN)","17","MYH3",0.00,"false",0.00,0.00,0.00,3066.00,223.77,0.00,,,,,"false"
10592.00,"SINGLE PROTEIN","A8MTQ0",""," Homeobox protein notochord (NOTO_HUMAN)","2","NOTO",0.00,"false",0.00,0.00,0.00,3066.00,26.99,0.00,,,,,"false"
10593.00,"SINGLE PROTEIN","P40426",""," Pre-B-cell leukemia transcription factor 3 (PBX3_HUMAN)","9","PBX3",0.00,"false",0.00,0.00,0.00,3066.00,47.16,0.00,,,,,"false"
10594.00,"SINGLE PROTEIN","Q9NZI6",""," Transcription factor CP2-like protein 1 (TF2L1_HUMAN)","2","TFCP2L1",0.00,"false",0.00,0.00,0.00,3066.00,54.59,0.00,,,,,"false"
10595.00,"SINGLE PROTEIN","Q9NZI7",""," Upstream-binding protein 1 (UBIP1_HUMAN)","3","UBP1",0.00,"false",0.00,0.00,0.00,3066.00,60.45,0.00,,,,,"false"
10596.00,"SINGLE PROTEIN","Q13948",""," Protein CASP (CASP_HUMAN)","7","CUX1",0.00,"false",0.00,0.00,0.00,3066.00,77.41,0.00,,,,,"false"
10597.00,"SINGLE PROTEIN","Q13946",""," High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A (PDE7A_HUMAN)","8","PDE7A",0.00,"false",0.00,0.00,0.00,3066.00,55.47,0.00,,,,,"false"
10598.00,"SINGLE PROTEIN","Q5TAQ9",""," DDB1- and CUL4-associated factor 8 (DCAF8_HUMAN)","1","DCAF8",0.00,"false",0.00,0.00,0.00,3066.00,66.81,0.00,,,,,"false"
10599.00,"UNRELATED PROTEINS","Q9UJ98","Q8TBR4"," Cohesin subunit SA-3 (STAG3_HUMAN)","7","STAG3",0.00,"false",0.00,0.00,0.00,3066.00,138.95,0.00,,,,,"false"
10600.00,"SINGLE PROTEIN","Q3B8N5",""," Prospero homeobox protein 2 (PROX2_HUMAN)","14","PROX2",0.00,"false",0.00,0.00,0.00,3066.00,65.54,0.00,,,,,"false"
10601.00,"SINGLE PROTEIN","Q9NZJ0",""," Denticleless protein homolog (DTL_HUMAN)","1","DTL",0.00,"false",0.00,0.00,0.00,3066.00,79.42,0.00,,,,,"false"
10602.00,"SINGLE PROTEIN","Q13952",""," Nuclear transcription factor Y subunit gamma (NFYC_HUMAN)","1","NFYC",0.00,"false",0.00,0.00,0.00,3066.00,50.27,0.00,,,,,"false"
10603.00,"SINGLE PROTEIN","Q13951",""," Core-binding factor subunit beta (PEBB_HUMAN)","16","CBFB",0.00,"false",0.00,0.00,0.00,3066.00,21.49,0.00,,,,,"false"
10604.00,"SINGLE PROTEIN","Q9NZB8",""," Molybdenum cofactor biosynthesis protein 1 (MOCS1_HUMAN)","6","MOCS1",0.00,"false",0.00,0.00,0.00,3066.00,70.06,0.00,,,,,"false"
10605.00,"RELATED AND UNRELATED PROTEINS","A8MVS1","P0CH99,P0CI00"," Zinc finger protein 705F (Z705F_HUMAN)","","ZNF705F",0.00,"false",0.00,0.00,0.00,3066.00,34.83,0.00,,,,,"false"
10606.00,"SINGLE PROTEIN","Q9BWG4",""," Single-stranded DNA-binding protein 4 (SSBP4_HUMAN)","19","SSBP4",0.00,"false",0.00,0.00,0.00,3066.00,39.36,0.00,,,,,"false"
10607.00,"SINGLE PROTEIN","Q6ZNA1",""," Zinc finger protein 836 (ZN836_HUMAN)","19","ZNF836",0.00,"false",0.00,0.00,0.00,3066.00,107.65,0.00,,,,,"false"
10608.00,"SINGLE PROTEIN","Q6ZNA5",""," Ferric-chelate reductase 1 (FRRS1_HUMAN)","1","FRRS1",0.00,"false",0.00,0.00,0.00,3066.00,66.07,0.00,,,,,"false"
10609.00,"SINGLE PROTEIN","Q6ZNA4",""," E3 ubiquitin-protein ligase Arkadia (RN111_HUMAN)","15","RNF111",0.00,"false",0.00,0.00,0.00,3066.00,108.79,0.00,,,,,"false"
10610.00,"SINGLE PROTEIN","Q9BWG6",""," Sodium channel modifier 1 (SCNM1_HUMAN)","1","SCNM1",0.00,"false",0.00,0.00,0.00,3066.00,25.93,0.00,,,,,"false"
10611.00,"SINGLE PROTEIN","Q9NZC3",""," Glycerophosphodiester phosphodiesterase 1 (GDE1_HUMAN)","16","GDE1",0.00,"false",0.00,0.00,0.00,3066.00,37.69,0.00,,,,,"false"
10612.00,"SINGLE PROTEIN","Q9NZC4",""," ETS homologous factor (EHF_HUMAN)","11","EHF",0.00,"false",0.00,0.00,0.00,3066.00,34.87,0.00,,,,,"false"
10613.00,"SINGLE PROTEIN","P26196",""," Probable ATP-dependent RNA helicase DDX6 (DDX6_HUMAN)","11","DDX6",0.00,"false",0.00,0.00,0.00,3066.00,54.38,0.00,,,,,"false"
10614.00,"SINGLE PROTEIN","Q9NZC7",""," WW domain-containing oxidoreductase (WWOX_HUMAN)","16","WWOX",0.00,"false",0.00,0.00,0.00,3066.00,46.65,0.00,,,,,"false"
10615.00,"SINGLE PROTEIN","Q9NZC9",""," SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 (SMAL1_HUMAN)","2","SMARCAL1",0.00,"false",0.00,0.00,0.00,3066.00,105.87,0.00,,,,,"false"
10616.00,"SINGLE PROTEIN","P38159",""," RNA-binding motif protein, X chromosome (RBMX_HUMAN)","X","RBMX",0.00,"false",0.00,0.00,0.00,3066.00,42.31,0.00,,,,,"false"
10617.00,"RELATED PROTEINS","P78329","Q08477"," Phylloquinone omega-hydroxylase CYP4F2 (CP4F2_HUMAN)","19","CYP4F2",0.00,"false",0.00,0.00,0.00,3066.00,59.81,0.00,,,,,"false"
10618.00,"SINGLE PROTEIN","Q9BWF2",""," E3 ubiquitin-protein ligase TRAIP (TRAIP_HUMAN)","3","TRAIP",0.00,"false",0.00,0.00,0.00,3066.00,53.26,0.00,,,,,"false"
10619.00,"SINGLE PROTEIN","Q4VNC1",""," Probable cation-transporting ATPase 13A4 (AT134_HUMAN)","3","ATP13A4",0.00,"false",0.00,0.00,0.00,3066.00,133.90,0.00,,,,,"false"
10620.00,"SINGLE PROTEIN","Q4VNC0",""," Probable cation-transporting ATPase 13A5 (AT135_HUMAN)","3","ATP13A5",0.00,"false",0.00,0.00,0.00,3066.00,137.24,0.00,,,,,"false"
10621.00,"SINGLE PROTEIN","Q6ZNB7",""," Alkylglycerol monooxygenase (ALKMO_HUMAN)","7","AGMO",0.00,"false",0.00,0.00,0.00,3066.00,51.47,0.00,,,,,"false"
10622.00,"SINGLE PROTEIN","Q9UN71",""," Protocadherin gamma-B4 (PCDGG_HUMAN)","5","PCDHGB4",0.00,"false",0.00,0.00,0.00,3066.00,99.86,0.00,,,,,"false"
10623.00,"SINGLE PROTEIN","Q9UN75",""," Protocadherin alpha-12 (PCDAC_HUMAN)","5","PCDHA12",0.00,"false",0.00,0.00,0.00,3066.00,101.59,0.00,,,,,"false"
10624.00,"SINGLE PROTEIN","Q9UN74",""," Protocadherin alpha-4 (PCDA4_HUMAN)","5","PCDHA4",0.00,"false",0.00,0.00,0.00,3066.00,102.23,0.00,,,,,"false"
10625.00,"SINGLE PROTEIN","Q9UN72",""," Protocadherin alpha-7 (PCDA7_HUMAN)","5","PCDHA7",0.00,"false",0.00,0.00,0.00,3066.00,100.80,0.00,,,,,"false"
10626.00,"SINGLE PROTEIN","O43298",""," Zinc finger and BTB domain-containing protein 43 (ZBT43_HUMAN)","9","ZBTB43",0.00,"false",0.00,0.00,0.00,3066.00,52.60,0.00,,,,,"false"
10627.00,"RELATED PROTEINS","P11940","Q13310"," Polyadenylate-binding protein 1 (PABP1_HUMAN)","8","PABPC1",0.00,"false",0.00,0.00,0.00,3066.00,70.63,0.00,,,,,"false"
10628.00,"SINGLE PROTEIN","Q9UN76",""," Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) (S6A14_HUMAN)","X","SLC6A14",0.00,"false",0.00,0.00,0.00,3066.00,72.11,0.00,,,,,"false"
10629.00,"SINGLE PROTEIN","O43295",""," SLIT-ROBO Rho GTPase-activating protein 3 (SRGP3_HUMAN)","3","SRGAP3",0.00,"false",0.00,0.00,0.00,3066.00,124.43,0.00,,,,,"false"
10630.00,"SINGLE PROTEIN","Q13976",""," cGMP-dependent protein kinase 1 (KGP1_HUMAN)","10","PRKG1",0.00,"false",0.00,0.00,0.00,3066.00,76.32,0.00,,,,,"false"
10631.00,"SINGLE PROTEIN","O43299",""," AP-5 complex subunit zeta-1 (AP5Z1_HUMAN)","7","AP5Z1",0.00,"false",0.00,0.00,0.00,3066.00,88.55,0.00,,,,,"false"
10632.00,"SINGLE PROTEIN","Q96TC7",""," Regulator of microtubule dynamics protein 3 (RMD3_HUMAN)","15","FAM82A2",0.00,"false",0.00,0.00,0.00,3066.00,52.09,0.00,,,,,"false"
10633.00,"SINGLE PROTEIN","Q9BWE0",""," Replication initiator 1 (REPI1_HUMAN)","7","REPIN1",0.00,"false",0.00,0.00,0.00,3066.00,63.53,0.00,,,,,"false"
10634.00,"SINGLE PROTEIN","Q5TAT6",""," Collagen alpha-1(XIII) chain (CODA1_HUMAN)","10","COL13A1",0.00,"false",0.00,0.00,0.00,3066.00,69.91,0.00,,,,,"false"
10635.00,"UNRELATED PROTEINS","Q5JUX0","Q9Y657"," Spindlin-3 (SPIN3_HUMAN)","X","SPIN3",0.00,"false",0.00,0.00,0.00,3066.00,29.19,0.00,,,,,"false"
10636.00,"SINGLE PROTEIN","Q9UN88",""," Gamma-aminobutyric acid receptor subunit theta (GBRT_HUMAN)","X","GABRQ",0.00,"false",0.00,0.00,0.00,3066.00,71.98,0.00,,,,,"false"
10637.00,"SINGLE PROTEIN","Q9UMW8",""," Ubl carboxyl-terminal hydrolase 18 (UBP18_HUMAN)","22","USP18",0.00,"false",0.00,0.00,0.00,3066.00,42.98,0.00,,,,,"false"
10638.00,"SINGLE PROTEIN","Q5UE93",""," Phosphoinositide 3-kinase regulatory subunit 6 (PI3R6_HUMAN)","17","PIK3R6",0.00,"false",0.00,0.00,0.00,3066.00,84.20,0.00,,,,,"false"
10639.00,"SINGLE PROTEIN","P52429",""," Diacylglycerol kinase epsilon (DGKE_HUMAN)","17","DGKE",0.00,"false",0.00,0.00,0.00,3066.00,63.88,0.00,,,,,"false"
10640.00,"UNRELATED PROTEINS","O15327","P51530,Q9P2L0"," Type II inositol 3,4-bisphosphate 4-phosphatase (INP4B_HUMAN)","4","INPP4B",0.00,"false",0.00,0.00,0.00,3066.00,104.67,0.00,,,,,"false"
10641.00,"SINGLE PROTEIN","Q9UMX1",""," Suppressor of fused homolog (SUFU_HUMAN)","10","SUFU",0.00,"false",0.00,0.00,0.00,3066.00,53.91,0.00,,,,,"false"
10642.00,"SINGLE PROTEIN","Q9UMX6",""," Guanylyl cyclase-activating protein 2 (GUC1B_HUMAN)","6","GUCA1B",0.00,"false",0.00,0.00,0.00,3066.00,23.40,0.00,,,,,"false"
10643.00,"SINGLE PROTEIN","Q9NZF1",""," Placenta-specific gene 8 protein (PLAC8_HUMAN)","4","PLAC8",0.00,"false",0.00,0.00,0.00,3066.00,12.50,0.00,,,,,"false"
10644.00,"SINGLE PROTEIN","Q6ZN57",""," Zinc finger protein 2 homolog (ZFP2_HUMAN)","5","ZFP2",0.00,"false",0.00,0.00,0.00,3066.00,52.71,0.00,,,,,"false"
10645.00,"SINGLE PROTEIN","Q6ZN55",""," Zinc finger protein 574 (ZN574_HUMAN)","19","ZNF574",0.00,"false",0.00,0.00,0.00,3066.00,98.84,0.00,,,,,"false"
10646.00,"SINGLE PROTEIN","P15407",""," Fos-related antigen 1 (FOSL1_HUMAN)","11","FOSL1",0.00,"false",0.00,0.00,0.00,3066.00,29.39,0.00,,,,,"false"
10647.00,"SINGLE PROTEIN","Q9UN19",""," Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide (DAPP1_HUMAN)","4","DAPP1",0.00,"false",0.00,0.00,0.00,3066.00,32.17,0.00,,,,,"false"
10648.00,"SINGLE PROTEIN","Q96T91",""," Glycoprotein hormone alpha-2 (GPHA2_HUMAN)","11","GPHA2",0.00,"false",0.00,0.00,0.00,3066.00,14.15,0.00,,,,,"false"
10649.00,"SINGLE PROTEIN","Q6ZMT1",""," SH3 and cysteine-rich domain-containing protein 2 (STAC2_HUMAN)","17","STAC2",0.00,"false",0.00,0.00,0.00,3066.00,44.98,0.00,,,,,"false"
10650.00,"SINGLE PROTEIN","Q09013",""," Myotonin-protein kinase (DMPK_HUMAN)","19","DMPK",0.00,"false",0.00,0.00,0.00,3066.00,69.34,0.00,,,,,"false"
10651.00,"RELATED PROTEINS","Q14623","Q15465"," Indian hedgehog protein (IHH_HUMAN)","2","IHH",0.00,"false",0.00,0.00,0.00,3066.00,45.22,0.00,,,,,"false"
10652.00,"SINGLE PROTEIN","Q96T88",""," E3 ubiquitin-protein ligase UHRF1 (UHRF1_HUMAN)","19","UHRF1",0.00,"false",0.00,0.00,0.00,3066.00,89.76,0.00,,,,,"false"
10653.00,"SINGLE PROTEIN","Q96SW2",""," Protein cereblon (CRBN_HUMAN)","3","CRBN",0.00,"false",0.00,0.00,0.00,3066.00,50.51,0.00,,,,,"false"
10654.00,"SINGLE PROTEIN","O43283",""," Mitogen-activated protein kinase kinase kinase 13 (M3K13_HUMAN)","3","MAP3K13",0.00,"false",0.00,0.00,0.00,3066.00,108.23,0.00,,,,,"false"
10655.00,"SINGLE PROTEIN","O43281",""," Embryonal Fyn-associated substrate (EFS_HUMAN)","14","EFS",0.00,"false",0.00,0.00,0.00,3066.00,58.78,0.00,,,,,"false"
10656.00,"SINGLE PROTEIN","O43280",""," Trehalase (TREA_HUMAN)","11","TREH",0.00,"false",0.00,0.00,0.00,3066.00,66.53,0.00,,,,,"false"
10657.00,"SINGLE PROTEIN","Q6ZN68",""," Putative C-mannosyltransferase DPY19L2P2 (D19P2_HUMAN)","7","DPY19L2P2",0.00,"false",0.00,0.00,0.00,3066.00,43.03,0.00,,,,,"false"
10658.00,"SINGLE PROTEIN","Q9UMQ3",""," Homeobox protein BarH-like 2 (BARX2_HUMAN)","11","BARX2",0.00,"false",0.00,0.00,0.00,3066.00,31.17,0.00,,,,,"false"
10659.00,"SINGLE PROTEIN","O43286",""," Beta-1,4-galactosyltransferase 5 (B4GT5_HUMAN)","20","B4GALT5",0.00,"false",0.00,0.00,0.00,3066.00,45.09,0.00,,,,,"false"
10660.00,"SINGLE PROTEIN","Q6ZN66",""," Guanylate-binding protein 6 (GBP6_HUMAN)","1","GBP6",0.00,"false",0.00,0.00,0.00,3066.00,72.38,0.00,,,,,"false"
10661.00,"SINGLE PROTEIN","Q6ZMU5",""," Tripartite motif-containing protein 72 (TRI72_HUMAN)","16","TRIM72",0.00,"false",0.00,0.00,0.00,3066.00,52.70,0.00,,,,,"false"
10662.00,"SINGLE PROTEIN","Q6ZMU1",""," Putative protein C3P1 (C3P1_HUMAN)","19","C3P1",0.00,"false",0.00,0.00,0.00,3066.00,40.17,0.00,,,,,"false"
10663.00,"SINGLE PROTEIN","Q96T76",""," MMS19 nucleotide excision repair protein homolog (MMS19_HUMAN)","10","MMS19",0.00,"false",0.00,0.00,0.00,3066.00,113.22,0.00,,,,,"false"
10664.00,"RELATED AND UNRELATED PROTEINS","P50502","Q8IZP2,Q8NFI4"," Hsc70-interacting protein (F10A1_HUMAN)","22","ST13",0.00,"false",0.00,0.00,0.00,3066.00,41.31,0.00,,,,,"false"
10665.00,"SINGLE PROTEIN","A8MU76",""," Putative UPF0607 protein ENSP00000381418 (YP034_HUMAN)","","",0.00,"false",0.00,0.00,0.00,3066.00,37.58,0.00,,,,,"false"
10666.00,"SINGLE PROTEIN","Q6DN72",""," Fc receptor-like protein 6 (FCRL6_HUMAN)","1","FCRL6",0.00,"false",0.00,0.00,0.00,3066.00,47.72,0.00,,,,,"false"
10667.00,"SINGLE PROTEIN","O43292",""," Glycosylphosphatidylinositol anchor attachment 1 protein (GPAA1_HUMAN)","8","GPAA1",0.00,"false",0.00,0.00,0.00,3066.00,67.58,0.00,,,,,"false"
10668.00,"SINGLE PROTEIN","Q9UMR3",""," T-box transcription factor TBX20 (TBX20_HUMAN)","7","TBX20",0.00,"false",0.00,0.00,0.00,3066.00,49.20,0.00,,,,,"false"
10669.00,"SINGLE PROTEIN","O43252",""," Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS1_HUMAN)","4","PAPSS1",0.00,"false",0.00,0.00,0.00,3066.00,70.79,0.00,,,,,"false"
10670.00,"SINGLE PROTEIN","Q6ZN32",""," ETS translocation variant 3-like protein (ETV3L_HUMAN)","1","ETV3L",0.00,"false",0.00,0.00,0.00,3066.00,39.92,0.00,,,,,"false"
10671.00,"SINGLE PROTEIN","P04733",""," Metallothionein-1F (MT1F_HUMAN)","16","MT1F",0.00,"false",0.00,0.00,0.00,3066.00,6.08,0.00,,,,,"false"
10672.00,"SINGLE PROTEIN","O43251",""," RNA binding protein fox-1 homolog 2 (RFOX2_HUMAN)","22","RBFOX2",0.00,"false",0.00,0.00,0.00,3066.00,41.35,0.00,,,,,"false"
10673.00,"SINGLE PROTEIN","Q4KMZ1",""," IQ domain-containing protein C (IQCC_HUMAN)","1","IQCC",0.00,"false",0.00,0.00,0.00,3066.00,53.00,0.00,,,,,"false"
10674.00,"RELATED PROTEINS","Q5JY77","Q96D09"," G-protein coupled receptor-associated sorting protein 1 (GASP1_HUMAN)","X","GPRASP1",0.00,"false",0.00,0.00,0.00,3066.00,156.77,0.00,,,,,"false"
10675.00,"SINGLE PROTEIN","O43257",""," Zinc finger HIT domain-containing protein 1 (ZNHI1_HUMAN)","7","ZNHIT1",0.00,"false",0.00,0.00,0.00,3066.00,17.52,0.00,,,,,"false"
10676.00,"SINGLE PROTEIN","Q9UN37",""," Vacuolar protein sorting-associated protein 4A (VPS4A_HUMAN)","16","VPS4A",0.00,"false",0.00,0.00,0.00,3066.00,48.87,0.00,,,,,"false"
10677.00,"SINGLE PROTEIN","Q9UMR7",""," C-type lectin domain family 4 member A (CLC4A_HUMAN)","12","CLEC4A",0.00,"false",0.00,0.00,0.00,3066.00,27.49,0.00,,,,,"false"
10678.00,"RELATED PROTEINS","P19875","P19876"," C-X-C motif chemokine 2 (CXCL2_HUMAN)","4","CXCL2",0.00,"false",0.00,0.00,0.00,3066.00,11.38,0.00,,,,,"false"
10679.00,"SINGLE PROTEIN","P53701",""," Cytochrome c-type heme lyase (CCHL_HUMAN)","X","HCCS",0.00,"false",0.00,0.00,0.00,3066.00,30.58,0.00,,,,,"false"
10680.00,"SINGLE PROTEIN","Q9BVX2",""," Transmembrane protein 106C (T106C_HUMAN)","12","TMEM106C",0.00,"false",0.00,0.00,0.00,3066.00,27.86,0.00,,,,,"false"
10681.00,"SINGLE PROTEIN","Q9BW92",""," Threonine--tRNA ligase, mitochondrial (SYTM_HUMAN)","1","TARS2",0.00,"false",0.00,0.00,0.00,3066.00,80.99,0.00,,,,,"false"
10682.00,"SINGLE PROTEIN","Q9BW91",""," ADP-ribose pyrophosphatase, mitochondrial (NUDT9_HUMAN)","4","NUDT9",0.00,"false",0.00,0.00,0.00,3066.00,39.10,0.00,,,,,"false"
10683.00,"RELATED PROTEINS","Q8IZC7","Q8N8L2"," Zinc finger protein 101 (ZN101_HUMAN)","19","ZNF101",0.00,"false",0.00,0.00,0.00,3066.00,50.31,0.00,,,,,"false"
10684.00,"SINGLE PROTEIN","Q00653",""," Nuclear factor NF-kappa-B p100 subunit (NFKB2_HUMAN)","10","NFKB2",0.00,"false",0.00,0.00,0.00,3066.00,96.69,0.00,,,,,"false"
10685.00,"SINGLE PROTEIN","Q96SU4",""," Oxysterol-binding protein-related protein 9 (OSBL9_HUMAN)","1","OSBPL9",0.00,"false",0.00,0.00,0.00,3066.00,83.13,0.00,,,,,"false"
10686.00,"SINGLE PROTEIN","A8MTY0",""," Putative zinc finger protein 724 (ZN724_HUMAN)","19","ZNF724P",0.00,"false",0.00,0.00,0.00,3066.00,71.13,0.00,,,,,"false"
10687.00,"UNRELATED PROTEINS","P31751","Q9UPN3"," RAC-beta serine/threonine-protein kinase (AKT2_HUMAN)","19","AKT2",0.00,"false",0.00,0.00,0.00,3066.00,55.73,0.00,,,,,"false"
10688.00,"SINGLE PROTEIN","P53708",""," Integrin alpha-8 (ITA8_HUMAN)","10","ITGA8",0.00,"false",0.00,0.00,0.00,3066.00,117.40,0.00,,,,,"false"
10689.00,"SINGLE PROTEIN","Q96T68",""," Histone-lysine N-methyltransferase SETDB2 (SETB2_HUMAN)","13","SETDB2",0.00,"false",0.00,0.00,0.00,3066.00,81.84,0.00,,,,,"false"
10690.00,"SINGLE PROTEIN","Q9BVW6",""," Small integral membrane protein 2 (SMIM2_HUMAN)","13","SMIM2",0.00,"false",0.00,0.00,0.00,3066.00,9.51,0.00,,,,,"false"
10691.00,"SINGLE PROTEIN","Q9UMS5",""," Putative homeodomain transcription factor 1 (PHTF1_HUMAN)","1","PHTF1",0.00,"false",0.00,0.00,0.00,3066.00,87.20,0.00,,,,,"false"
10692.00,"SINGLE PROTEIN","O43264",""," Centromere/kinetochore protein zw10 homolog (ZW10_HUMAN)","11","ZW10",0.00,"false",0.00,0.00,0.00,3066.00,88.77,0.00,,,,,"false"
